"iso","scope","quintile","gender","population","year_survey","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","water_trucked","water_on_premises","water_distr","consume_distr","access_water_other_max","access_water_other_min","consume_bottled","access_water_daily","water_dist_continuity_jmp","improved_w_access_min","improved_w_access_max","access_water_piped_house_daily","access_water_piped_plot_daily","treat_water","water_meter","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","improved_san_min__hh","improved_san_max","improved_san_min_exclusive","improved_san_max_exclusive","access_latrines_unimproved_min","access_latrines_unimproved_max","access_latrines_unimproved_exclusive_min","no_sanitation_access","name"
"ARG","urban","1","all",45376763,2020,NA,1414.33373382462,4000,8375.29193375449,43000,0.833,0.0257,NA,0.859,0.859,0.859,0.139,0,NA,NA,NA,0.859,0.998,NA,NA,NA,NA,0.967,0.619,0.263,0.0558,0.0558,0.602,0.256,0.0525,0.0525,0.938,0.938,0.91,0.91,0.0625,0.0625,0.0896,0.00539,"ARG_2020"
"ARG","urban","2","all",45376763,2020,NA,6192.45718477448,8333.33333333333,34642.0289630832,115268,0.783,0.0391,NA,0.822,0.822,0.822,0.177,0,NA,NA,NA,0.822,0.999,NA,NA,NA,NA,0.932,0.479,0.355,0.0517,0.0517,0.454,0.346,0.0486,0.0486,0.885,0.885,0.848,0.848,0.115,0.115,0.152,0.029,"ARG_2020"
"ARG","urban","3","all",45376763,2020,NA,10531.8077843061,13500,55083.8978920895,160060,0.841,0.0174,NA,0.858,0.858,0.858,0.141,0,NA,NA,NA,0.858,0.999,NA,NA,NA,NA,0.972,0.621,0.291,0.0152,0.0152,0.606,0.284,0.0146,0.0146,0.927,0.927,0.905,0.905,0.0731,0.0731,0.0953,0.00441,"ARG_2020"
"ARG","urban","4","all",45376763,2020,NA,17271.7817104312,22900,72300.6219571538,195000,0.893,0.00742,NA,0.901,0.901,0.901,0.0984,0,NA,NA,NA,0.901,0.999,NA,NA,NA,NA,0.984,0.698,0.243,0.00468,0.00468,0.687,0.24,0.00411,0.00411,0.945,0.945,0.931,0.931,0.0547,0.0547,0.0689,0.000802,"ARG_2020"
"ARG","urban","5","all",45376763,2020,NA,38165.9872875983,1049999,117901.015718495,1049999,0.931,0.00402,NA,0.935,0.935,0.935,0.0651,0,NA,NA,NA,0.935,1,NA,NA,NA,NA,0.989,0.821,0.148,0.00114,0.00114,0.814,0.145,0.00114,0.00114,0.97,0.97,0.96,0.96,0.03,0.03,0.0395,4.24e-05,"ARG_2020"
"ARG","urban","total","all",45376763,2020,0.92,12380.5180080538,1049999,51282.2248562352,1049999,0.856,0.0187,NA,0.875,0.875,0.875,0.124,0,NA,NA,NA,0.875,0.999,NA,NA,NA,NA,0.969,0.647,0.26,0.0257,0.0257,0.633,0.254,0.0242,0.0242,0.933,0.933,0.911,0.911,0.067,0.067,0.0891,0.00792,"ARG_2020"
"ARG","urban","1","female",45376763,2020,NA,1740.28049506222,4000,10735.8885813455,39000,0.835,0.0326,NA,0.868,0.868,0.868,0.128,0,NA,NA,NA,0.868,0.996,NA,NA,NA,NA,0.975,0.65,0.235,0.048,0.048,0.63,0.234,0.0476,0.0476,0.933,0.933,0.911,0.911,0.0673,0.0673,0.0888,0.00172,"ARG_2020"
"ARG","urban","2","female",45376763,2020,NA,6120.14683577448,8333.33333333333,33587.47357887,98000,0.724,0.0534,NA,0.778,0.778,0.778,0.221,0,NA,NA,NA,0.778,0.998,NA,NA,NA,NA,0.906,0.48,0.385,0.0405,0.0405,0.452,0.37,0.0377,0.0377,0.905,0.905,0.859,0.859,0.0953,0.0953,0.141,0.0459,"ARG_2020"
"ARG","urban","3","female",45376763,2020,NA,10615.986501338,13500,52732.907171762,160060,0.874,0.0221,NA,0.896,0.896,0.896,0.1,0,NA,NA,NA,0.896,0.996,NA,NA,NA,NA,0.965,0.66,0.279,0.0146,0.0146,0.637,0.271,0.0142,0.0142,0.954,0.954,0.922,0.922,0.0461,0.0461,0.0782,0.00151,"ARG_2020"
"ARG","urban","4","female",45376763,2020,NA,17161.9197721408,22900,70606.1730768298,172200,0.867,0.0105,NA,0.877,0.877,0.877,0.121,0,NA,NA,NA,0.877,0.998,NA,NA,NA,NA,0.982,0.651,0.283,0.00446,0.00446,0.638,0.279,0.00446,0.00446,0.938,0.938,0.922,0.922,0.0619,0.0619,0.078,0.000669,"ARG_2020"
